Wall time,Step,Value
1531316347.649096,1032,1.224719524383545
1531316349.9569507,1034,1.260535478591919
1531316355.8486576,1039,1.2262011766433716
1531316368.7218843,1050,1.426310420036316
1531316371.0747528,1052,1.2734917402267456
1531316378.193004,1058,1.301176905632019
1531316379.416038,1059,1.2283412218093872
1531316381.8598816,1061,1.1986103057861328
1531316384.256905,1063,1.2788119316101074
1531316389.0024989,1067,1.2828123569488525
1531316393.7445107,1071,1.3501702547073364
1531316396.1394813,1073,1.2256510257720947
1531316402.1954286,1078,1.111992597579956
1531316403.4153435,1079,1.2526841163635254
1531316404.6075523,1080,1.4725127220153809
1531316412.9157739,1087,1.388110637664795
1531316414.126077,1088,1.2088847160339355
1531316421.4303277,1094,1.2023646831512451
1531316426.214723,1098,1.2446606159210205
1531316427.4120882,1099,1.2012088298797607
1531316428.5971868,1100,1.2503600120544434
1531316439.4485931,1109,1.3543528318405151
1531316441.9264548,1111,1.2813600301742554
1531316445.5759017,1114,1.1905086040496826
1531316452.7363229,1120,1.3368093967437744
1531316453.9566164,1121,1.083694338798523
1531316462.332788,1128,1.3579020500183105
1531316464.7167265,1130,1.3085765838623047
1531316481.5971658,1144,1.2395424842834473
1531316485.2184925,1147,1.3055994510650635
1531316488.8883636,1150,1.3322447538375854
1531316490.1286964,1151,1.3773901462554932
1531316491.3651166,1152,1.4604508876800537
1531316495.0145907,1155,1.3266150951385498
1531316496.218979,1156,1.2510716915130615
1531316497.4494433,1157,1.372029185295105
1531316519.4269547,1175,1.2315090894699097
1531316523.063054,1178,1.2088931798934937
1531316525.471558,1180,1.1882261037826538
1531316533.8146374,1187,1.1946637630462646
1531316534.9996426,1188,1.2586332559585571
1531316537.3557851,1190,1.233791708946228
1531316539.7896478,1192,1.3435910940170288
1531316542.2066078,1194,1.1980056762695312
1531316544.6310694,1196,1.0740258693695068
1531316548.234359,1199,1.2524092197418213
1531316574.5636377,1200,1.18010675907135
1531316576.7931907,1202,0.9638047218322754
1531316579.0241737,1204,1.0354598760604858
1531316583.4871464,1208,1.0734535455703735
1531316594.7023609,1218,1.1565884351730347
1531316599.1934288,1222,0.9739091396331787
1531316603.717558,1226,0.9901978969573975
1531316604.84019,1227,1.02781343460083
1531316605.9833302,1228,0.9482861757278442
1531316608.2798479,1230,1.1045883893966675
1531316611.7220497,1233,1.175437092781067
